clip_id,syllable,filename,freq_rank,heard,status
v00001,a,v00001.mp3,945,ê,mismatch
v00002,ai,v00002.mp3,461,ai,ok
v00003,am,v00003.mp3,2655,ám,tone_mismatch
v00004,an,v00004.mp3,81,anh,mismatch
v00005,ang,v00005.mp3,4587,anh,mismatch
v00006,anh,v00006.mp3,45,anh,ok
v00007,ao,v00007.mp3,2035,ao,ok
v00008,au,v00008.mp3,3979,au,ok
v00009,ay,v00009.mp3,6570,ấy,mismatch
v00010,ba,v00010.mp3,425,ba,ok
v00011,bai,v00011.mp3,3126,buai,mismatch
v00012,bam,v00012.mp3,5748,từbom,mismatch
v00013,ban,v00013.mp3,202,banh,mismatch
v00014,bang,v00014.mp3,1529,ban,mismatch
v00015,banh,v00015.mp3,3745,bân,mismatch
v00016,bao,v00016.mp3,379,bao,ok
v00017,bau,v00017.mp3,5728,từbao,mismatch
v00018,bay,v00018.mp3,483,bay,ok
v00019,be,v00019.mp3,2037,bè,tone_mismatch
v00020,ben,v00020.mp3,2278,bên,mismatch
v00021,beng,v00021.mp3,4041,từbên,mismatch
v00022,beo,v00022.mp3,4167,bêu,mismatch
v00023,bi,v00023.mp3,1678,b,mismatch
v00024,bia,v00024.mp3,1288,bi,mismatch
v00025,bim,v00025.mp3,3430,biêm,mismatch
v00026,bin,v00026.mp3,2981,pin,mismatch
v00027,binh,v00027.mp3,1182,bình,tone_mismatch
v00028,biêm,v00028.mp3,6075,biêm,ok
v00029,biên,v00029.mp3,592,bình,mismatch
v00030,biêng,v00030.mp3,5908,bình,mismatch
v00031,biêu,v00031.mp3,5625,từbill,mismatch
v00032,biếc,v00032.mp3,4272,biết,mismatch
v00033,biếm,v00033.mp3,3944,biến,mismatch
v00034,biến,v00034.mp3,438,tựbiến,mismatch
v00035,biếng,v00035.mp3,2935,biến,mismatch
v00036,biếp,v00036.mp3,6816,điếp,mismatch
v00037,biết,v00037.mp3,76,biết,ok
v00038,biếu,v00038.mp3,2485,biếu,ok
v00039,biềm,v00039.mp3,6138,từpin,mismatch
v00040,biền,v00040.mp3,4138,bình,mismatch
v00041,biều,v00041.mp3,5352,unkbưu,mismatch
v00042,biểm,v00042.mp3,6324,biển,mismatch
v00043,biển,v00043.mp3,386,từbiển,mismatch
v00044,biểu,v00044.mp3,383,biểu,ok
v00045,biễn,v00045.mp3,5505,từbiển,mismatch
v00046,biễu,v00046.mp3,6050,biểu,tone_mismatch
v00047,biệc,v00047.mp3,6491,từbiệt,mismatch
v00048,biện,v00048.mp3,881,biển,tone_mismatch
v00049,biệt,v00049.mp3,292,từbiệt,mismatch
v00050,bo,v00050.mp3,2866,từbo,mismatch
v00051,boa,v00051.mp3,4456,tửboa,mismatch
v00052,boe,v00052.mp3,5473,bố,mismatch
v00053,boi,v00053.mp3,5520,bơi,mismatch
v00054,bom,v00054.mp3,1574,bơm,mismatch
v00055,bon,v00055.mp3,2994,bông,mismatch
v00056,bong,v00056.mp3,2436,từbông,mismatch
v00057,boong,v00057.mp3,4177,bóng,mismatch
v00058,boăn,v00058.mp3,7033,bằng,mismatch
v00059,bu,v00059.mp3,3791,bu,ok
v00060,bua,v00060.mp3,4194,từbua,mismatch
v00061,bui,v00061.mp3,2309,từbụi,mismatch
v00062,bum,v00062.mp3,5314,bơm,mismatch
v00063,bun,v00063.mp3,4302,từbông,mismatch
v00064,bung,v00064.mp3,2554,từbung,mismatch
v00065,buy,v00065.mp3,5087,bay,mismatch
v00066,buôi,v00066.mp3,6700,bôi,mismatch
v00067,buôn,v00067.mp3,1061,từbuôn,mismatch
v00068,buông,v00068.mp3,2059,từbuôn,mismatch
v00069,buýt,v00069.mp3,1620,biết,mismatch
v00070,buốc,v00070.mp3,7032,bước,mismatch
v00071,buối,v00071.mp3,6350,từbúi,mismatch
v00072,buốt,v00072.mp3,3255,bút,mismatch
v00073,buồm,v00073.mp3,3272,từbồn,mismatch
v00074,buồn,v00074.mp3,1036,từbuồn,mismatch
v00075,buồng,v00075.mp3,2041,buồn,mismatch
v00076,buổi,v00076.mp3,612,từbúi,mismatch
v00077,buỗi,v00077.mp3,6660,từbuổi,mismatch
v00078,buộc,v00078.mp3,877,từbuộc,mismatch
v00079,buội,v00079.mp3,6815,từbụi,mismatch
v00080,buột,v00080.mp3,4758,từbột,mismatch
v00081,by,v00081.mp3,3244,bay,mismatch
v00082,bà,v00082.mp3,155,ba,tone_mismatch
v00083,bài,v00083.mp3,398,bài,ok
v00084,bàn,v00084.mp3,441,từban,mismatch
v00085,bàng,v00085.mp3,1750,từban,mismatch
v00086,bành,v00086.mp3,3454,từbệnh,mismatch
v00087,bào,v00087.mp3,1033,bao,tone_mismatch
v00088,bàu,v00088.mp3,3208,tờbáo,mismatch
v00089,bày,v00089.mp3,827,bay,tone_mismatch
v00090,bá,v00090.mp3,1283,bác,mismatch
v00091,bác,v00091.mp3,456,từbác,mismatch
v00092,bách,v00092.mp3,1607,từbất,mismatch
v00093,bái,v00093.mp3,1881,bấy,mismatch
v00094,bám,v00094.mp3,1572,từbán,mismatch
v00095,bán,v00095.mp3,232,bán,ok
v00096,báng,v00096.mp3,4197,từbán,mismatch
v00097,bánh,v00097.mp3,837,bấn,mismatch
v00098,báo,v00098.mp3,142,từbáo,mismatch
v00099,báp,v00099.mp3,6352,từbác,mismatch
v00100,bát,v00100.mp3,1526,từbất,mismatch
v00101,báu,v00101.mp3,2267,báu,ok
v00102,báy,v00102.mp3,5521,bấy,mismatch
v00103,bân,v00103.mp3,4590,vâng,mismatch
v00104,bâng,v00104.mp3,4439,từbưng,mismatch
v00105,bâu,v00105.mp3,5287,bầu,tone_mismatch
v00106,bây,v00106.mp3,1076,bay,mismatch
v00107,bã,v00107.mp3,2450,từbã,mismatch
v00108,bãi,v00108.mp3,1054,bãi,ok
v00109,bão,v00109.mp3,1178,từbảo,mismatch
v00110,bè,v00110.mp3,898,bên,mismatch
v00111,bèm,v00111.mp3,6701,ben,mismatch
v00112,bèn,v00112.mp3,3640,bên,mismatch
v00113,bèo,v00113.mp3,2872,bèo,ok
v00114,bé,v00114.mp3,388,từbé,mismatch
v00115,béc,v00115.mp3,5909,từbếp,mismatch
v00116,bén,v00116.mp3,2545,từbến,mismatch
v00117,béng,v00117.mp3,6088,bến,mismatch
v00118,béo,v00118.mp3,1263,từbếu,mismatch
v00119,bép,v00119.mp3,5727,bếp,mismatch
v00120,bét,v00120.mp3,3760,từbếp,mismatch
v00121,bê,v00121.mp3,1575,từbê,mismatch
v00122,bên,v00122.mp3,258,từbên,mismatch
v00123,bênh,v00123.mp3,2612,từbên,mismatch
v00124,bêu,v00124.mp3,3661,từbưu,mismatch
v00125,bì,v00125.mp3,1872,bỉ,tone_mismatch
v00126,bìa,v00126.mp3,2437,từbia,mismatch
v00127,bìm,v00127.mp3,4807,từpin,mismatch
v00128,bìn,v00128.mp3,6212,mình,mismatch
v00129,bình,v00129.mp3,140,từmình,mismatch
v00130,bìu,v00130.mp3,4205,bù,mismatch
v00131,bí,v00131.mp3,611,bí,ok
v00132,bía,v00132.mp3,5146,biết,mismatch
