clip_id,syllable,filename,freq_rank
v00001,a,v00001.mp3,945
v00002,ai,v00002.mp3,461
v00003,am,v00003.mp3,2655
v00004,an,v00004.mp3,81
v00005,ang,v00005.mp3,4587
v00006,anh,v00006.mp3,45
v00007,ao,v00007.mp3,2035
v00008,au,v00008.mp3,3979
v00009,ay,v00009.mp3,6570
v00010,ba,v00010.mp3,425
v00011,bai,v00011.mp3,3126
v00012,bam,v00012.mp3,5748
v00013,ban,v00013.mp3,202
v00014,bang,v00014.mp3,1529
v00015,banh,v00015.mp3,3745
v00016,bao,v00016.mp3,379
v00017,bau,v00017.mp3,5728
v00018,bay,v00018.mp3,483
v00019,be,v00019.mp3,2037
v00020,ben,v00020.mp3,2278
v00021,beng,v00021.mp3,4041
v00022,beo,v00022.mp3,4167
v00023,bi,v00023.mp3,1678
v00024,bia,v00024.mp3,1288
v00025,bim,v00025.mp3,3430
v00026,bin,v00026.mp3,2981
v00027,binh,v00027.mp3,1182
v00028,biêm,v00028.mp3,6075
v00029,biên,v00029.mp3,592
v00030,biêng,v00030.mp3,5908
v00031,biêu,v00031.mp3,5625
v00032,biếc,v00032.mp3,4272
v00033,biếm,v00033.mp3,3944
v00034,biến,v00034.mp3,438
v00035,biếng,v00035.mp3,2935
v00036,biếp,v00036.mp3,6816
v00037,biết,v00037.mp3,76
v00038,biếu,v00038.mp3,2485
v00039,biềm,v00039.mp3,6138
v00040,biền,v00040.mp3,4138
v00041,biều,v00041.mp3,5352
v00042,biểm,v00042.mp3,6324
v00043,biển,v00043.mp3,386
v00044,biểu,v00044.mp3,383
v00045,biễn,v00045.mp3,5505
v00046,biễu,v00046.mp3,6050
v00047,biệc,v00047.mp3,6491
v00048,biện,v00048.mp3,881
v00049,biệt,v00049.mp3,292
v00050,bo,v00050.mp3,2866
v00051,boa,v00051.mp3,4456
v00052,boe,v00052.mp3,5473
v00053,boi,v00053.mp3,5520
v00054,bom,v00054.mp3,1574
v00055,bon,v00055.mp3,2994
v00056,bong,v00056.mp3,2436
v00057,boong,v00057.mp3,4177
v00058,boăn,v00058.mp3,7033
v00059,bu,v00059.mp3,3791
v00060,bua,v00060.mp3,4194
v00061,bui,v00061.mp3,2309
v00062,bum,v00062.mp3,5314
v00063,bun,v00063.mp3,4302
v00064,bung,v00064.mp3,2554
v00065,buy,v00065.mp3,5087
v00066,buôi,v00066.mp3,6700
v00067,buôn,v00067.mp3,1061
v00068,buông,v00068.mp3,2059
v00069,buýt,v00069.mp3,1620
v00070,buốc,v00070.mp3,7032
v00071,buối,v00071.mp3,6350
v00072,buốt,v00072.mp3,3255
v00073,buồm,v00073.mp3,3272
v00074,buồn,v00074.mp3,1036
v00075,buồng,v00075.mp3,2041
v00076,buổi,v00076.mp3,612
v00077,buỗi,v00077.mp3,6660
v00078,buộc,v00078.mp3,877
v00079,buội,v00079.mp3,6815
v00080,buột,v00080.mp3,4758
v00081,by,v00081.mp3,3244
v00082,bà,v00082.mp3,155
v00083,bài,v00083.mp3,398
v00084,bàn,v00084.mp3,441
v00085,bàng,v00085.mp3,1750
v00086,bành,v00086.mp3,3454
v00087,bào,v00087.mp3,1033
v00088,bàu,v00088.mp3,3208
v00089,bày,v00089.mp3,827
v00090,bá,v00090.mp3,1283
v00091,bác,v00091.mp3,456
v00092,bách,v00092.mp3,1607
v00093,bái,v00093.mp3,1881
v00094,bám,v00094.mp3,1572
v00095,bán,v00095.mp3,232
v00096,báng,v00096.mp3,4197
v00097,bánh,v00097.mp3,837
v00098,báo,v00098.mp3,142
v00099,báp,v00099.mp3,6352
v00100,bát,v00100.mp3,1526
v00101,báu,v00101.mp3,2267
v00102,báy,v00102.mp3,5521
v00103,bân,v00103.mp3,4590
v00104,bâng,v00104.mp3,4439
v00105,bâu,v00105.mp3,5287
v00106,bây,v00106.mp3,1076
v00107,bã,v00107.mp3,2450
v00108,bãi,v00108.mp3,1054
v00109,bão,v00109.mp3,1178
v00110,bè,v00110.mp3,898
v00111,bèm,v00111.mp3,6701
v00112,bèn,v00112.mp3,3640
v00113,bèo,v00113.mp3,2872
v00114,bé,v00114.mp3,388
v00115,béc,v00115.mp3,5909
v00116,bén,v00116.mp3,2545
v00117,béng,v00117.mp3,6088
v00118,béo,v00118.mp3,1263
v00119,bép,v00119.mp3,5727
v00120,bét,v00120.mp3,3760
v00121,bê,v00121.mp3,1575
v00122,bên,v00122.mp3,258
v00123,bênh,v00123.mp3,2612
v00124,bêu,v00124.mp3,3661
v00125,bì,v00125.mp3,1872
v00126,bìa,v00126.mp3,2437
v00127,bìm,v00127.mp3,4807
v00128,bìn,v00128.mp3,6212
v00129,bình,v00129.mp3,140
v00130,bìu,v00130.mp3,4205
v00131,bí,v00131.mp3,611
v00132,bía,v00132.mp3,5146
v00133,bích,v00133.mp3,1543
v00134,bím,v00134.mp3,5465
v00135,bính,v00135.mp3,2287
v00136,bíp,v00136.mp3,5714
v00137,bít,v00137.mp3,3350
v00138,bíu,v00138.mp3,5959
v00139,bò,v00139.mp3,1130
v00140,bòn,v00140.mp3,4123
v00141,bòng,v00141.mp3,4902
v00142,bó,v00142.mp3,1360
v00143,bóc,v00143.mp3,2232
v00144,bói,v00144.mp3,3483
v00145,bón,v00145.mp3,1820
v00146,bóng,v00146.mp3,926
v00147,bóp,v00147.mp3,2248
v00148,bót,v00148.mp3,6376
v00149,bô,v00149.mp3,3371
v00150,bôi,v00150.mp3,2192
v00151,bôm,v00151.mp3,5769
v00152,bôn,v00152.mp3,3757
v00153,bông,v00153.mp3,1528
v00154,bõ,v00154.mp3,4597
v00155,bõm,v00155.mp3,4428
v00156,bù,v00156.mp3,1410
v00157,bùa,v00157.mp3,3341
v00158,bùi,v00158.mp3,1136
v00159,bùm,v00159.mp3,5455
v00160,bùn,v00160.mp3,2180
v00161,bùng,v00161.mp3,1781
v00162,bú,v00162.mp3,2255
v00163,búa,v00163.mp3,2643
v00164,búc,v00164.mp3,5009
v00165,búi,v00165.mp3,3789
v00166,bún,v00166.mp3,1900
v00167,búng,v00167.mp3,4355
