id,target,target_clip_id,freq_rank,axis,target_feature,option_1,option_2,option_3,option_4,correct_option,difficulty,southern_merged
00001,và,v06060,1,tone,huyen,và,va,vả,vạ,1,hard,0
00002,và,v06060,1,vowel,a,và,về,vì,vừa,1,easy,0
00003,và,v06060,1,onset,v,và,dà,là,nhà,1,medium,0
00004,và,v06060,1,final,,và,vào,vàng,vài,1,easy,0
00005,của,v00965,2,tone,hoi,của,cùa,cua,cúa,1,medium,0
00006,của,v00965,2,vowel,ua,của,cả,cổ,cửa,1,easy,0
00007,của,v00965,2,onset,c,của,sủa,bủa,rủa,1,easy,0
00008,có,v00800,3,tone,sac,có,co,cọ,cõ,1,hard,0
00009,có,v00800,3,vowel,o,có,cố,cá,cứ,1,medium,0
00010,có,v00800,3,onset,c,có,đó,khó,phó,1,easy,0
00011,có,v00800,3,final,,có,cóc,cóp,cóng,1,easy,0
00012,các,v00777,4,vowel,a,các,cắc,cước,cốc,1,medium,0
00013,các,v00777,4,onset,c,các,tác,khác,xác,1,easy,0
00014,các,v00777,4,final,c,các,cách,cát,cáo,1,hard,0
00015,là,v02486,5,tone,huyen,là,la,lạ,lả,1,hard,0
00016,là,v02486,5,vowel,a,là,lừa,lò,lồ,1,easy,0
00017,là,v02486,5,onset,l,là,nà,và,nhà,1,medium,0
00018,là,v02486,5,final,,là,làm,làng,lào,1,easy,0
00019,được,v06798,6,vowel,ươ,được,đặc,độc,đọc,1,easy,0
00020,được,v06798,6,onset,đ,được,ngược,lược,dược,1,easy,0
00021,trong,v05467,7,tone,ngang,trong,tròng,trọng,trỏng,1,medium,0
00022,trong,v05467,7,vowel,o,trong,trông,trung,trang,1,medium,0
00023,trong,v05467,7,onset,tr,trong,chong,long,phong,1,medium,0
00024,cho,v00411,8,tone,ngang,cho,chó,chò,chỏ,1,hard,0
00025,cho,v00411,8,vowel,o,cho,chô,chưa,chi,1,medium,0
00026,cho,v00411,8,onset,ch,cho,tro,do,so,1,medium,0
00027,cho,v00411,8,final,,cho,chong,chon,chom,1,easy,0
00028,không,v02164,9,tone,ngang,không,khống,khồng,khổng,1,hard,0
00029,không,v02164,9,vowel,ô,không,khong,khuông,khung,1,hard,0
00030,không,v02164,9,onset,kh,không,công,ông,thông,1,easy,0
00031,không,v02164,9,final,ng,không,khôn,khô,khôi,1,medium,0
00032,người,v03314,10,tone,huyen,người,ngươi,ngưởi,ngượi,1,hard,0
00033,người,v03314,10,vowel,ươ,người,ngời,ngồi,ngài,1,medium,0
00034,người,v03314,10,onset,ng,người,cười,mười,lười,1,easy,0
00035,với,v06238,11,tone,sac,với,vơi,vợi,vời,1,hard,0
00036,với,v06238,11,onset,v,với,mới,tới,giới,1,easy,0
00037,một,v03090,12,vowel,ô,một,mọt,mặt,mật,1,medium,0
00038,một,v03090,12,onset,m,một,đột,bột,cột,1,easy,0
00039,một,v03090,12,final,t,một,mộc,mộ,mộng,1,medium,0
00040,đã,v06718,13,tone,nga,đã,đá,đa,đà,1,medium,0
00041,đã,v06718,13,vowel,a,đã,đỡ,đỗ,đĩa,1,easy,0
00042,đã,v06718,13,onset,đ,đã,xã,ngã,mã,1,easy,0
00043,công,v00811,14,tone,ngang,công,cống,cồng,cộng,1,hard,0
00044,công,v00811,14,vowel,ô,công,cong,cuông,cung,1,hard,0
00045,công,v00811,14,onset,c,công,không,ông,thông,1,easy,0
00046,công,v00811,14,final,ng,công,côn,cô,côi,1,medium,0
00047,để,v06868,15,tone,hoi,để,đề,đế,đê,1,medium,0
00048,để,v06868,15,vowel,ê,để,đẻ,đủ,đổ,1,medium,0
00049,để,v06868,15,onset,đ,để,thể,kể,bể,1,easy,0
00050,để,v06868,15,final,,để,đểu,đển,đểm,1,easy,0
00051,những,v03704,16,tone,nga,những,nhứng,nhưng,nhừng,1,medium,0
00052,những,v03704,16,vowel,ư,những,nhũng,nhưỡng,nhãng,1,medium,0
00053,những,v03704,16,onset,nh,những,vững,chững,sững,1,easy,0
00054,khi,v02040,17,tone,ngang,khi,khí,khì,khỉ,1,hard,0
00055,khi,v02040,17,vowel,i,khi,khu,khô,kho,1,easy,0
00056,khi,v02040,17,onset,kh,khi,đi,thi,vi,1,easy,0
00057,khi,v02040,17,final,,khi,khinh,khiu,khin,1,easy,0
